congress,chamber,icpsr,nominate_dim1,bioname,bioguide_id,party_code,littlesis,party,color,projection-1d,projection-2d_x,projection-2d_y
117,House,21302,0.534,"LaMALFA, Doug",L000578,200,118484,Republican,blue,-0.6225480437278748,-0.07826173305511475,-0.6444416642189026
117,House,21303,-0.43,"HUFFMAN, Jared",H001068,100,96369,Democrat,red,-0.5887954831123352,-0.12592488527297974,-0.7264492511749268
117,House,21304,-0.238,"BERA, Ami",B001287,100,96625,Democrat,red,0.3853795528411865,0.37715351581573486,0.1976381540298462
117,House,21306,-0.362,"SWALWELL, Eric",S001193,100,118493,Democrat,red,-0.8976046442985535,-0.5100902915000916,-0.5173686742782593
117,House,21307,0.267,"VALADAO, David G.",V000129,200,118483,Republican,blue,-0.01718968152999878,-0.34508663415908813,0.25096380710601807
117,House,21308,-0.291,"BROWNLEY, Julia",B001285,100,117153,Democrat,red,0.26446104049682617,0.24612820148468018,0.02096998691558838
117,House,21309,-0.39,"CÁRDENAS, Tony",C001097,100,126508,Democrat,red,-0.17965060472488403,-0.7437328100204468,-0.3055570721626282
117,House,21311,-0.249,"RUIZ, Raul",R000599,100,118054,Democrat,red,-0.20455604791641235,-0.5556902289390564,-0.23864638805389404
117,House,21312,-0.464,"TAKANO, Mark",T000472,100,69680,Democrat,red,-0.40644747018814087,-0.4194357395172119,-0.43380993604660034
117,House,21313,-0.449,"LOWENTHAL, Alan",L000579,100,118491,Democrat,red,-0.6215392351150513,-0.0817410945892334,-0.6991890668869019
117,House,21314,-0.403,"VARGAS, Juan",V000130,100,31105,Democrat,red,-0.793776273727417,-0.318824827671051,-0.9110015034675598
117,House,21315,-0.186,"PETERS, Scott",P000608,100,118489,Democrat,red,-0.30267637968063354,-0.49041569232940674,-0.29869526624679565
117,House,21504,-0.525,"DESAULNIER, Mark James",D000623,100,83941,Democrat,red,-0.624039888381958,-0.09370052814483643,-0.5586273670196533
117,House,21506,-0.303,"AGUILAR, Peter Rey",A000371,100,90801,Democrat,red,-0.46115636825561523,-0.40499502420425415,-0.523872971534729
117,House,21507,-0.378,"LIEU, Ted",L000582,100,42033,Democrat,red,-0.4392719268798828,-0.46081799268722534,-0.5270076990127563
117,House,21508,-0.364,"TORRES, Norma Judith",T000474,100,147741,Democrat,red,-0.6223272085189819,-0.05901205539703369,-0.543616533279419
117,House,21703,-0.515,"BARRAGÁN, Nanette Diaz",B001300,100,284876,Democrat,red,-0.6869714260101318,-0.03442281484603882,-0.7544941306114197
117,House,21709,-0.303,"CARBAJAL, Salud",C001112,100,284875,Democrat,red,-0.6126245856285095,-0.12388741970062256,-0.5664666295051575
117,House,21711,-0.284,"CORREA, Jose Luis",C001110,100,284877,Democrat,red,-0.6853944063186646,0.04344069957733154,-0.5674387216567993
117,House,21728,-0.513,"KHANNA, Rohit",K000389,100,284873,Democrat,red,0.40098440647125244,0.4189110994338989,0.2214881181716919
117,House,21740,-0.288,"PANETTA, James Varni",P000613,100,284874,Democrat,red,-0.6225114464759827,-0.039736390113830566,-0.7062561511993408
117,House,21754,-0.564,"GOMEZ, Jimmy",G000585,100,147795,Democrat,red,-0.48804473876953125,-0.04323530197143555,-0.3864205479621887
117,House,21930,-0.36,"HARDER, Josh",H001090,100,337030,Democrat,red,0.3798232078552246,0.4395080804824829,0.09517693519592285
117,House,21939,-0.352,"LEVIN, Mike",L000593,100,337035,Democrat,red,-0.5231651067733765,-0.21700668334960938,-0.9240059852600098
117,House,21954,-0.208,"PORTER, Katie",P000618,100,337033,Democrat,red,0.4633105993270874,0.35557639598846436,0.2925097942352295
117,House,21988,0.377,"GARCIA, Mike",G000061,200,416862,Republican,blue,-0.03182625770568848,-0.23776501417160034,0.09201860427856445
117,House,22126,-0.353,"JACOBS, Sara",J000305,100,418118,Democrat,red,-0.6124064922332764,0.049114227294921875,-0.4973648190498352
117,House,22129,0.279,"KIM, Young",K000397,200,417510,Republican,blue,0.04805326461791992,-0.13295245170593262,0.1675727367401123
117,House,22145,0.34,"OBERNOLTE, Jay",O000019,200,416653,Republican,blue,-0.502158522605896,-0.12795448303222656,-0.4447143077850342
117,House,22152,0.355,"STEEL, Michelle",S001135,200,417473,Republican,blue,-0.48596346378326416,-0.09634965658187866,-0.33774399757385254
117,House,22164,0.376,"CONWAY, Connie",C001128,200,429525,Republican,blue,-0.5288012623786926,-0.10027086734771729,-0.4665542244911194
117,House,29106,-0.656,"WATERS, Maxine",W000187,100,13655,Democrat,red,-0.22637969255447388,-0.4652414917945862,-0.17828142642974854
117,House,29312,-0.38,"ESHOO, Anna Georges",E000215,100,13273,Democrat,red,0.39112818241119385,0.4113837480545044,0.22190749645233154
117,House,29317,-0.469,"ROYBAL-ALLARD, Lucille",R000486,100,13557,Democrat,red,-0.3624957799911499,-0.39929741621017456,-0.34573763608932495
117,House,29323,0.349,"CALVERT, Ken",C000059,200,13145,Republican,blue,0.003165125846862793,-0.1549133062362671,0.12723636627197266
